년도,교명,PR1,PR1,PR1,PR2,PR2,PR2,PR3,PR3,PR3,PR4,PR4,PR4,PR5,PR5,PR5,PR6,PR6,PR6,PR7,PR7,PR7,SC1,SC1,SC1,SC2,SC2,SC2,SC3,SC3,SC3,SC4,SC4,SC4,SC5,SC5,SC5,SC6,SC6,SC6,SC7,SC7,SC7,ST1,ST1,ST1,ST2,ST2,ST2,ST3,ST3,ST3,ST4,ST4,ST4,ST5,ST5,ST5,ST6,ST6,ST6,ST7,ST7,ST7,MA1,MA1,MA1,MA2,MA2,MA2,MA3,MA3,MA3,MA4,MA4,MA4,MA5,MA5,MA5,MA6,MA6,MA6,MA7,MA7,MA7,FA1,FA1,FA1,FA2,FA2,FA2,FA3,FA3,FA3,FA4,FA4,FA4,FA5,FA5,FA5,FA6,FA6,FA6,FA7,FA7,FA7,ET1,ET1,ET1,ET2,ET2,ET2,ET3,ET3,ET3,ET4,ET4,ET4,ET5,ET5,ET5,ET6,ET6,ET6,ET7,ET7,ET7
1949,안성농업중학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,안성농업중학교 교명 변경,1949년 4월 1일,안성농업중학교로 교명이 변경됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,제5회 졸업식,1949년 6월 15일,제5회 졸업식으로 43명(6년제 농업과)이 졸업했다. ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,구성 과목 소개,1949년 3월,교양과목(수신/공민/국어(일본어)/역사)과 기초과목(수학/이과/외국어)과 전공과목(농업 일반) 및 예능과목(음악/도서) 외에 체조와 무도 및 교련을 구성했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1950,안성농업중학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학교 개편,1950년 5월 1일,안성농업고등학교(3년제)+안성농업중학교(4년제)로 개편됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,제6회 졸업식,1950년 5월 3일,제6회 졸업식으로 32명(6년제 농업과)이 졸업했다. ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1951,안성농업고등학교,제4대 교장 이병규 취임,1951년 10월 16일,제4대 교장으로 이병규(1951.10.16. ~ 1954.3.3.)가 취임했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,안성중학교로 교명 변경,1951년 3월,안성농업중학교에서 안성중학교로 교명을 변경했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,제7회 졸업식,1951년 8월 21일,제7회 졸업식(6년제 농업과) 및 제1회 졸업식(4년제)으로 총 58명이 졸업했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학급 구성,1950년 3월,농업과 및 임과 각 3학급을 구성했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1952,안성농업고등학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,안성농고 제1회 졸업생,1952년 3월 25일,제1회 졸업생(안성농고 3년제)이 졸업했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1953,안성농업고등학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1954,안성농업고등학교,제5대 교장 유석준 취임,1954년 3월 4일,제5대 교장으로 유석준(1954.3.4. ~ 1955.5.30.)이 취임했다. ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학급 구성,1954년 3월,농업과 4학급 및 임과와 축산과 각 3학급씩 구성했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1955,안성농업고등학교,제6대 교장 어윤수 취임,1955년 5월 31일,제6대 교장으로 어윤수(1955.5.31. ~ 1957.3.30.)가 취임했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학급 구성,1955년 3월,농업과 9학급 및 임과와 축산과 각 3학급씩 구성했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1956,안성농업고등학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1957,안성농업고등학교,제7대 교장 서경렬 취임,1957년 3월 31일,제7대 교장으로 서경렬(1957.3.31. ~ 1958.11.17.)이 취임했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1958,안성농업고등학교,제8대 교장 홍락선 취임,1958년 12월 9일,제8대 교장으로 홍락선(1958.12.9. ~ 1961.8.21.)이 취임했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1959,안성농업고등학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학급 구성,1959년 3월,농업과 6학급 및 임과와 축산과 및 원예과 각 3학급씩 구성했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1960,안성농업고등학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1961,안성농업고등학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1962,안성농업고등학교,제9대 교장 송재형 취임,1962년 3월 9일,제9대 교장으로 송재형(1962.3.9. ~ 1969.7.2.)이 취임했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,고등전문대학 설립계획안,1962년 12월 5일,5년제 실업고등전문대학의 설립계획안을 의결했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1963,안성농업고등학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,실기경진대회 여럿 수상,1963년 5월,전국 실업고등학교 실기경진대회에서 개인 1/2/3등/단체 종합우승을 수상했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1964,안성농업고등학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,실기경진대회 수상 2연패,1964년 5월,전국 실업고등학교 실기경진대회에서 개인 1/2/3등/단체 종합우승 2연패를 수상했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1965,안성농업고등전문학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,안성농고 설립 인가,1965년 1월 목,안성농업고등전문학교(5년제)가 설립 인가됐다.,안성농업고등전문학교 개교,1965년 4월 15일,안성농업고등전문학교가 개교했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,안성농고 입학생,1965년 3월,1~5학년 각 40명씩 총 200명으로 정원을 구성했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,학급 구성,1965년 3월,농업과 및 축산과와 원예과 각 5개 학급씩 구성했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,도서관 1층 준공,1965년 2월 1일,도서관 1층을 준공했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1966,안성농업고등전문학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,토지 확보,1966년 2월,대지 및 정원 1만 8145평과 체육장 6080평 및 실습지 2만 7559평과 임야 7만 2540평을 확보했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1967,안성농업고등전문학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,안성농업고등학교 폐교,1967년 2월 28일,안성농업고등학교가 폐교됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,안성농고 총 졸업생,1966년 3월,안성농고 총 졸업생은 농업과 1~16회 1434명과 임업과 1~14회 579명과 축산과 1~10회 562명과 원예과 1~6회 286명 및 양잠과 1회 36명으로 5개 학과 2897명이다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1968,안성농업고등전문학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1969,안성농업고등전문학교,제10대 교장 한경우 취임,1969년 7월 12일,제10대 교장으로 한경우(1969.7.12. ~ 1977.2.16.)가 취임했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,도서관 2~3층 준공,1969년 3월,도서관 2~3층을 준공했지만 강의실로 사용했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1970,안성농업고등전문학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,안성농업전문학교 설립 인가,1970년 8월 30일,안성농업전문학교(2년제)가 설립 인가됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,과목 증설,1970년 12월 23일,농업토목과 및 농업가정과 증설됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,중학교 건물 화재 소실,1970년 2월,중학교 건물이 화재로 소실됐고 강당 옆자리 건물이 신축됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1971,안성농업고등전문학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,안성농업전문학교 개교,1971년 3월 1일,안성농업전문학교가 개교했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,신축 교사 이전,1971년 2월 20일,석정리에서 금산리로 신축 교사 이전했다.,신관 신축,1971년 12월 31일,강의실 4개 및 실험실 6개 신관이 신축됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1972,안성농업고등전문학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,축산과 증설,1972년 12월 24일,축산과 1학급이 증설됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,강의실 증축,1972년 11월 20일,신관에 붙여 강의실 4개가 증축됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1973,안성농업고등전문학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,안성농업전문학교 제1회 졸업식,1973년 2월 20일,안성농업전문학교가 제1회 졸업식이 진행됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,원예과 증설,1973년 12월 9일,원예과 1학급이 증설됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1974,안성농업고등전문학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,농업과 증설,1974년 12월 24일,농업과 1학급이 증설됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,실험실 신축 공사,1974년 11월 16일,교사 및 실험실의 신축 공사가 착공됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,새마을 운동,1974년 3월,새마을 운동 도시 및 학교 등 확산을 통해 안성군내 자연부락과 자매결연을 맺고 농업 상담소를 설치 및 운영했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
